id_Historico_Desastre;idDetalleDesastre;NombreDetalle;ValorDetalle;UnidadesDetalle;idDetalleDesastre
500000;5000003;Nivel de agua;15.193013307052638;m;0
500001;5000013;Velocidad de la avalancha;19.461105572322552;(m/s);1
500002;5000023;Daño causado;Moderado;Sin unidades;2
500003;5000033;Nivel de agua;16.17278048895936;m;3
500004;5000043;Velocidad de la avalancha;14.208393081964136;(m/s);4
500005;5000053;Daño causado;Moderado;Sin unidades;5
500006;5000063;Daño causado;Leve;Sin unidades;6
500007;5000073;Velocidad de la avalancha;14.377556317022474;(m/s);7
500008;5000083;Área afectada;1.789240289413;km^2;8
500009;5000093;Nivel de agua;5.702226788382192;m;9
500010;5000103;Nivel de agua;12.302497381739347;m;10
500011;5000113;Velocidad de la avalancha;13.801698948126354;(m/s);11
500012;5000123;Área afectada;1.7687407162083844;km^2;12
500013;5000133;Velocidad de la avalancha;12.556425349916767;(m/s);13
500014;5000143;Nivel de agua;25.85780734544972;m;14
500015;5000153;Velocidad de la avalancha;14.085375913309862;(m/s);15
500016;5000163;Nivel de agua;24.543197183591108;m;16
500017;5000173;Nivel de agua;2.7129244236266317;m;17
500018;5000183;Nivel de agua;16.040711445983018;m;18
500019;5000193;Nivel de agua;23.009264345072047;m;19
500020;5000203;Nivel de agua;3.0294033415716983;m;20
500021;5000213;Velocidad de la avalancha;11.165907434939408;(m/s);21
500022;5000223;Área afectada;1.071224330381606;km^2;22
500023;5000233;Velocidad de la avalancha;18.949667378050986;(m/s);23
500024;5000243;Nivel de agua;23.517576583669157;m;24
500025;5000253;Velocidad de la avalancha;18.809320928193497;(m/s);25
500026;5000263;Área afectada;1.0263182897512286;km^2;26
500027;5000273;Nivel de agua;19.04932589842988;m;27
500028;5000283;Nivel de agua;0.7068702399837201;m;28
500029;5000293;Nivel de agua;23.99818155092969;m;29
500030;5000303;Nivel de agua;21.16121005046905;m;30
500031;5000313;Nivel de agua;7.871310726416959;m;31
500032;5000323;Nivel de agua;5.9803856492818666;m;32
500033;5000333;Velocidad de la avalancha;15.484623119982654;(m/s);33
500034;5000343;Velocidad de la avalancha;11.964311298028997;(m/s);34
500035;5000353;Velocidad de la avalancha;11.595544518530167;(m/s);35
500036;5000363;Nivel de agua;1.6122811385945768;m;36
500037;5000373;Velocidad de la avalancha;10.435704625662432;(m/s);37
500038;5000383;Velocidad del viento;119.47657206820787;km/h;38
500039;5000393;Velocidad de la avalancha;15.82436751669949;(m/s);39
500040;5000403;Área afectada;0.6449286860789691;km^2;40
500041;5000413;Velocidad del viento;149.81575395998757;km/h;41
500042;5000423;Velocidad de la avalancha;19.728462468401933;(m/s);42
500043;5000433;Nivel de agua;27.87496530709605;m;43
500044;5000443;Área afectada;0.9965605824404478;km^2;44
500045;5000453;Velocidad de la avalancha;14.440286235445638;(m/s);45
500046;5000463;Nivel de agua;28.8204107385389;m;46
500047;5000473;Área afectada;0.9579764499781722;km^2;47
500048;5000483;Daño causado;Leve;Sin unidades;48
500049;5000493;Nivel de contaminación;Bajo;Sin unidades;49
500050;5000503;Velocidad del viento;85.97317266730128;km/h;50
500051;5000513;Velocidad del viento;139.18991418949736;km/h;51
500052;5000523;Velocidad del viento;133.57244402864478;km/h;52
500053;5000533;Nivel de agua;28.479678691487386;m;53
500054;5000543;Área forestal afectada;13.05550224130011;km^2;54
500055;5000553;Velocidad de la avalancha;14.690225734847129;(m/s);55
500056;5000563;Nivel de agua;19.987148690621314;m;56
500057;5000573;Velocidad del viento;139.55936838209084;km/h;57
500058;5000583;Velocidad del viento;132.7308262800542;km/h;58
500059;5000593;Velocidad del viento;144.46581946880315;km/h;59
500060;5000603;Velocidad del viento;96.1601941533803;km/h;60
500061;5000613;Velocidad del viento;111.61410007463957;km/h;61
500062;5000623;Velocidad del viento;108.89140672970622;km/h;62
500063;5000633;Velocidad del viento;145.8241881734826;km/h;63
500064;5000643;Velocidad del viento;109.10741989486851;km/h;64
500065;5000653;Nivel de agua;20.376717068327366;m;65
500066;5000663;Velocidad del viento;89.63832543014664;km/h;66
500067;5000673;Velocidad del viento;133.13299079058498;km/h;67
500068;5000683;Área forestal afectada;27.322891353348155;km^2;68
500069;5000693;Velocidad de la avalancha;19.903713105045885;(m/s);69
500070;5000703;Velocidad del viento;91.07337108396185;km/h;70
500071;5000713;Velocidad del viento;133.65496242958156;km/h;71
500072;5000723;Área afectada;1.3395115009502994;km^2;72
500073;5000733;Velocidad del viento;86.42605387202192;km/h;73
500074;5000743;Velocidad del viento;124.01088554353241;km/h;74
500075;5000753;Velocidad de la avalancha;17.489881650742465;(m/s);75
500076;5000763;Área afectada;1.179657141663508;km^2;76
500077;5000773;Área afectada;1.8059562454495532;km^2;77
500078;5000783;Nivel de agua;28.259194118929226;m;78
500079;5000793;Nivel de agua;12.502828167573197;m;79
500080;5000803;Velocidad del viento;110.99092376156113;km/h;80
500081;5000813;Velocidad del viento;119.89695096342388;km/h;81
500082;5000823;Área forestal afectada;61.96627366419547;km^2;82
500083;5000833;Vía de exposición;Ingestión;Sin unidades;83
500084;5000843;Velocidad del viento;108.78782213461602;km/h;84
500085;5000853;Área forestal afectada;22.632544601274795;km^2;85
500086;5000863;Área forestal afectada;20.457447803773988;km^2;86
500087;5000873;Magnitud de la explosión;0.5459330111198906;kilotones;87
500088;5000883;Área afectada;1.8294019450520194;km^2;88
500089;5000893;Velocidad de la avalancha;11.161271234931306;(m/s);89
500090;5000903;Nivel de agua;27.80922279549548;m;90
500091;5000913;Nivel de agua;15.643908264399514;m;91
500092;5000923;Nivel de agua;19.969709898630427;m;92
