id_Historico_Desastre;Event;Municipio;Fecha;Causa;Descripción de la causa;Fuente;IDimpacto_material;Muertos;Heridos;Desaparecidos;IDimpacto_humano;Casas destruidas;Casas dañadas;Pérdidas económicas;With Deaths;With Injured;With Missing;With Houses Destroyed;With Victims;Tipo_desastre;idDetalleDesastre
500000;FLOOD;Carepa;30/12/2016;RAIN;;UNGRD;102;0;0;0;101;0;400;0;0;0;0;0;0;Hidrológico;5000003
500001;LANDSLIDE;Copacabana;28/12/2016;UNKNOWN;;UNGRD;202;0;0;0;201;0;0;0;0;0;0;0;0;Geofísico;5000013
500002;STRUCTURE;Dabeiba;28/12/2016;UNKNOWN;;UNGRD;302;0;0;0;301;0;0;0;0;0;0;0;0;Técnico;5000023
500003;FLOOD;Apartadó;25/12/2016;OVERFLOW;Río Vijagual con creciente súbita;UNGRD;402;0;0;0;401;0;600;0;0;0;0;0;0;Hidrológico;5000033
500004;LANDSLIDE;Medellín;10/12/2016;UNKNOWN;;UNGRD;502;0;0;0;501;10;20;0;0;0;0;10;0;Geofísico;5000043
500005;STRUCTURE;Anzá;8/12/2016;UNKNOWN;;UNGRD;602;0;0;0;601;0;0;0;0;0;0;0;0;Técnico;5000053
500006;STRUCTURE;Jericó;7/12/2016;UNKNOWN;;UNGRD;702;0;20;0;701;10;0;0;0;10;0;10;0;Técnico;5000063
500007;LANDSLIDE;Ebéjico;6/12/2016;UNKNOWN;;UNGRD;802;0;0;0;801;40;0;0;0;0;0;10;0;Geofísico;5000073
500008;FIRE;Rionegro;4/12/2016;UNKNOWN;;UNGRD;902;0;0;0;901;0;10;0;0;0;0;0;0;Técnico;5000083
500009;FLOOD;Caucasia;3/12/2016;OVERFLOW;Desbordamiento del río NechÍ;UNGRD;1002;0;0;0;1001;0;400;0;0;0;0;0;0;Hidrológico;5000093
500010;FLOOD;Nechí;2/12/2016;OVERFLOW;Desbordamiento del río Cauca;UNGRD;1102;0;0;0;1101;0;0;0;0;0;0;0;0;Hidrológico;5000103
500011;LANDSLIDE;Jericó;1/12/2016;RAIN;;UNGRD;1202;0;0;0;1201;0;10;0;0;0;0;0;0;Geofísico;5000113
500012;FIRE;Medellín;1/12/2016;UNKNOWN;;UNGRD;1302;0;20;0;1301;0;0;0;0;10;0;0;0;Técnico;5000123
500013;LANDSLIDE;Remedios;25/11/2016;UNKNOWN;;UNGRD;1402;10;10;0;1401;0;0;0;10;10;0;0;0;Geofísico;5000133
500014;FLOOD;Zaragoza;24/11/2016;OVERFLOW;DESBORDAMIENTO DEL RIO NECHI Y LA QUEBRADA OCA;UNGRD;1502;0;0;0;1501;0;0;0;0;0;0;0;0;Hidrológico;5000143
500015;LANDSLIDE;Jardín;19/11/2016;UNKNOWN;;UNGRD;1602;0;0;0;1601;0;20;0;0;0;0;0;0;Geofísico;5000153
