IDimpacto_humano;Deaths;Injured;Missing
101;0;0;0
201;0;0;0
301;0;0;0
401;0;0;0
501;0;0;0
601;0;0;0
701;0;20;0
801;0;0;0
901;0;0;0
1001;0;0;0
1101;0;0;0
1201;0;0;0
1301;0;20;0
1401;10;10;0
1501;0;0;0
1601;0;0;0
1701;0;0;0
1801;0;0;0
1901;0;0;0
2001;0;0;0
2101;0;0;0
2201;0;0;0
2301;0;0;0
2401;0;0;0
2501;0;0;0
2601;150;30;10
2701;0;10;0
2801;0;0;0
2901;0;0;0
3001;0;0;0
3101;0;0;0
3201;0;0;0
3301;0;0;0
3401;0;0;0
3501;70;60;0
3601;0;0;0
3701;10;0;0
3801;0;0;0
3901;0;0;0
4001;0;0;10
4101;0;0;0
4201;0;10;0
4301;0;10;10
4401;0;0;0
4501;0;0;0
4601;0;0;0
4701;0;0;0
4801;30;10;0
4901;0;20;0
5001;0;0;0
5101;0;0;0
5201;0;0;0
5301;0;0;0
5401;0;0;0
5501;0;0;0
5601;10;10;0
5701;0;0;0
5801;0;0;0
5901;0;0;0
6001;0;0;0
6101;10;0;0
6201;0;0;0
6301;0;0;0
6401;0;0;0
6501;0;0;0
6601;0;0;0
6701;0;0;0
6801;0;0;0
6901;0;0;0
7001;0;0;0
7101;0;0;0
7201;0;0;0
7301;0;0;0
7401;0;0;0
7501;0;0;0
7601;0;0;0
7701;0;0;0
7801;0;0;0
7901;0;0;0
8001;0;0;0
8101;0;0;0
8201;0;0;0
8301;0;0;0
8401;0;80;0
8501;0;0;0
8601;0;0;0
8701;0;0;0
8801;20;30;0
8901;0;0;0
9001;0;0;0
9101;0;0;0
9201;0;0;0
9301;0;0;0
9401;0;20;0
9501;20;0;0
9601;0;0;0
9701;0;0;0
9801;10;0;0
9901;0;0;0
10001;0;0;0
10101;0;0;0
10201;0;0;0
10301;0;0;0
10401;0;0;0
10501;0;0;0
10601;0;0;0
10701;0;0;0
10801;0;0;0
10901;0;0;0
11001;0;0;0
11101;0;0;0
11201;0;30;0
11301;0;0;0
11401;0;0;0
11501;0;0;0
11601;0;0;0
