IDimpacto_material;Houses Destroyed;Houses Damaged
102;0;400
202;0;0
302;0;0
402;0;600
502;10;20
602;0;0
702;10;0
802;40;0
902;0;10
1002;0;400
1102;0;0
1202;0;10
1302;0;0
1402;0;0
1502;0;0
1602;0;20
1702;0;20
1802;0;1250
1902;120;190
2002;0;0
2102;0;3000
2202;0;0
2302;0;0
2402;0;0
2502;0;0
2602;0;0
2702;10;0
2802;0;0
2902;0;0
3002;30;0
3102;0;400
3202;0;0
3302;0;3390
3402;0;50
3502;20;0
3602;0;30
3702;0;160
3802;0;0
3902;10;360
4002;0;0
4102;0;0
4202;0;100
4302;30;70
4402;0;350
4502;0;0
4602;0;30
4702;30;1750
4802;120;80
4902;0;0
5002;0;0
5102;0;0
5202;0;0
5302;0;1500
5402;0;370
5502;10;0
5602;0;0
5702;0;970
5802;0;200
5902;0;150
6002;0;20
6102;0;0
6202;0;0
6302;0;0
6402;0;70
6502;0;700
6602;0;600
6702;0;280
6802;0;310
6902;0;120
7002;0;10
7102;0;10
7202;0;250
7302;0;0
7402;0;0
7502;0;250
7602;0;30
7702;0;0
7802;0;0
7902;70;310
8002;0;0
8102;0;440
8202;0;410
8302;0;0
8402;0;0
8502;0;1040
8602;10;0
8702;0;0
8802;0;20
8902;150;0
9002;10;0
9102;0;0
9202;0;3520
9302;70;1270
9402;0;0
9502;0;0
9602;0;0
9702;0;50
9802;0;0
9902;0;20
10002;0;0
10102;0;0
10202;0;130
10302;0;0
10402;0;500
10502;0;0
10602;0;320
10702;0;60
10802;10;70
10902;0;0
11002;0;0
11102;0;0
11202;0;0
11302;0;0
11402;0;0
11502;0;0
11602;0;0
11702;0;0
11802;0;0
11902;0;150
12002;0;0
12102;0;720
12202;10;0
12302;0;0
12402;0;0
12502;0;300
12602;0;0
12702;0;0
12802;0;0
12902;0;0
13002;0;0
13102;0;0
13202;0;0
13302;0;0
13402;0;0
13502;0;0
13602;0;0
13702;0;0
13802;0;0
13902;0;0
14002;0;0
14102;0;0
14202;0;0
14302;0;0
14402;0;0
14502;0;0
14602;0;0
14702;0;0
14802;0;0
14902;0;0
15002;0;0
15102;0;0
15202;0;0
15302;0;0
15402;330;80
15502;20;0
15602;0;0
15702;0;0
15802;0;0
15902;0;0
16002;0;0
16102;0;0
16202;0;0
16302;0;0
16402;0;0
16502;0;0
16602;0;0
16702;10;0
16802;0;0
16902;0;0
17002;0;0
17102;0;0
17202;0;0
17302;0;0
17402;0;0
17502;0;0
17602;0;0
17702;0;0
17802;0;0
17902;0;0
18002;0;0
18102;0;0
18202;0;0
18302;0;0
18402;0;0
18502;0;0
18602;0;0
18702;0;0
18802;0;0
18902;0;0
19002;0;0
19102;0;0
19202;0;0
19302;0;0
19402;0;0
19502;0;0
19602;0;0
19702;0;0
19802;0;0
19902;0;0
20002;0;0
20102;0;0
20202;0;0
20302;0;0
20402;0;0
20502;0;0
20602;0;0
20702;0;0
20802;0;0
20902;0;0
21002;0;0
21102;0;0
21202;0;0
21302;40;90
21402;0;0
21502;0;0
21602;0;0
21702;0;0
21802;0;20
21902;0;10
22002;0;0
22102;0;0
22202;0;0
22302;10;0
22402;20;0
22502;0;0
22602;0;0
22702;0;10
22802;0;0
22902;0;0
23002;0;0
23102;0;0
23202;0;0
23302;0;100
23402;0;0
23502;0;110
23602;0;150
23702;0;0
23802;0;0
23902;0;50
24002;0;0
24102;10;0
24202;0;0
24302;0;0
24402;0;0
24502;0;0
24602;0;0
24702;0;10
24802;0;0
24902;0;10
25002;0;0
25102;0;10
25202;0;10
25302;0;0
25402;0;0
25502;0;10
25602;10;0
25702;0;0
25802;0;0
25902;0;0
26002;0;10
26102;0;10
26202;0;610
26302;0;0
26402;0;0
26502;0;0
26602;0;0
26702;0;0
26802;0;350
26902;0;200
27002;0;0
27102;70;0
27202;0;0
27302;0;20
27402;0;100
27502;0;10
27602;0;0
27702;0;0
27802;0;1100
27902;0;370
28002;0;0
28102;0;0
28202;0;40
28302;0;70
28402;0;10
28502;0;0
28602;0;0
28702;0;130
28802;0;0
28902;0;0
29002;10;0
29102;0;0
29202;0;70
29302;0;0
29402;0;0
29502;0;110
29602;0;300
29702;0;400
29802;0;600
29902;0;80
30002;0;0
30102;0;0
30202;0;0
30302;0;0
30402;0;630
30502;10;0
30602;0;0
30702;0;0
30802;0;0
30902;10;0
31002;10;20
31102;0;0
31202;0;0
31302;0;10
31402;0;10
31502;0;0
31602;0;0
31702;0;10
31802;0;10
31902;0;50
32002;0;10
32102;10;0
32202;10;10
32302;0;10
32402;0;160
32502;0;130
32602;0;0
32702;0;1420
32802;10;10
32902;0;1500
33002;0;0
33102;0;0
33202;0;0
33302;0;0
33402;0;0
33502;0;0
33602;0;0
33702;0;0
33802;10;0
33902;0;10
34002;0;0
34102;30;0
34202;0;0
34302;0;10
34402;0;0
34502;0;0
34602;0;20
34702;0;0
34802;0;0
34902;0;0
35002;0;0
35102;0;0
35202;70;0
35302;0;0
35402;0;0
35502;0;0
35602;0;0
35702;0;0
35802;0;0
35902;0;0
36002;0;0
36102;0;0
36202;0;0
36302;0;0
36402;0;0
36502;0;0
36602;0;0
36702;0;0
36802;0;0
36902;0;0
37002;0;0
37102;0;90
37202;0;0
37302;0;0
37402;0;0
37502;160;250
37602;20;80
37702;0;1340
37802;0;0
37902;0;400
38002;0;0
38102;0;340
38202;0;0
38302;0;0
38402;0;0
38502;0;0
38602;10;250
38702;0;0
38802;0;0
38902;0;0
39002;0;40
39102;20;110
39202;0;0
39302;0;0
39402;0;0
39502;0;10
39602;0;0
39702;0;0
39802;0;0
39902;0;0
40002;0;0
40102;0;0
40202;0;0
40302;0;0
40402;0;0
40502;0;0
40602;0;0
40702;0;0
40802;0;0
40902;0;0
41002;0;1040
41102;0;0
41202;0;200
41302;30;10
41402;0;350
41502;0;0
41602;0;0
41702;0;20
41802;0;70
41902;0;0
42002;0;660
42102;0;80
42202;10;0
42302;0;0
42402;0;10
42502;0;20
42602;0;0
42702;0;980
42802;0;0
42902;50;580
43002;0;0
43102;0;0
43202;0;0
43302;0;0
43402;0;0
43502;0;300
43602;0;0
43702;0;30
43802;0;250
43902;0;160
44002;0;550
44102;0;0
44202;0;0
44302;0;0
44402;0;0
44502;0;0
44602;0;0
44702;0;0
44802;0;0
44902;0;0
45002;0;0
45102;0;0
45202;0;10
45302;0;0
45402;0;0
45502;0;140
45602;0;540
45702;0;270
45802;0;120
45902;0;0
46002;0;60
46102;0;0
46202;0;10
46302;0;160
46402;0;1100
46502;0;50
46602;10;250
46702;0;150
46802;40;910
46902;0;300
47002;30;530
47102;0;0
47202;10;0
47302;0;180
47402;10;0
47502;0;0
47602;0;0
47702;0;0
47802;0;0
47902;0;0
48002;0;0
48102;0;3000
48202;0;0
48302;60;590
48402;60;20
48502;10;20
48602;30;10
48702;0;1600
48802;0;4000
48902;0;0
49002;10;40
49102;660;2430
49202;0;3900
49302;0;0
49402;0;0
49502;0;0
49602;0;0
49702;0;0
49802;0;0
49902;0;0
50002;0;0
50102;0;0
50202;0;0
50302;0;0
50402;0;0
50502;0;250
50602;0;0
50702;0;800
50802;0;0
50902;0;0
51002;50;0
51102;10;30
51202;0;0
51302;10;0
51402;10;0
51502;0;250
51602;150;220
51702;10;50
51802;0;0
51902;40;70
52002;0;380
52102;0;10
52202;0;790
52302;0;0
52402;0;250
52502;0;190
52602;0;0
52702;0;0
52802;0;0
52902;0;10
53002;0;0
53102;0;0
53202;0;0
53302;0;0
53402;0;0
53502;0;0
53602;0;0
53702;0;0
53802;0;0
53902;0;0
54002;0;0
54102;0;0
54202;0;0
54302;0;0
54402;0;0
54502;0;0
54602;0;0
54702;0;220
54802;0;0
54902;0;0
55002;0;0
55102;0;20
55202;0;120
55302;0;0
55402;0;0
55502;0;0
55602;0;120
55702;0;20
55802;0;0
55902;0;0
56002;0;0
56102;0;0
56202;0;0
56302;10;0
56402;0;0
56502;0;0
56602;0;200
56702;0;0
56802;0;10
56902;0;0
57002;170;0
57102;0;0
57202;0;0
57302;0;0
57402;0;0
57502;0;0
57602;0;0
57702;0;0
57802;0;0
57902;0;0
58002;0;0
58102;0;0
58202;0;0
58302;0;0
58402;0;20
58502;0;0
58602;0;0
58702;0;0
58802;0;0
58902;0;0
59002;0;0
59102;0;0
59202;0;0
59302;0;0
59402;0;0
59502;0;0
59602;0;0
59702;0;0
59802;0;0
59902;0;0
60002;0;0
60102;0;0
60202;0;0
60302;0;0
60402;0;0
60502;10;0
60602;0;0
60702;0;0
60802;0;0
60902;0;0
61002;0;0
61102;0;0
61202;0;0
61302;0;0
61402;0;0
61502;0;0
61602;0;0
61702;0;0
61802;0;0
61902;0;0
62002;0;0
62102;0;10
62202;0;0
62302;0;0
62402;0;0
62502;0;0
62602;0;0
62702;0;0
62802;0;0
62902;0;0
63002;0;0
63102;0;0
63202;0;0
63302;0;0
63402;0;0
63502;0;0
63602;0;0
63702;0;0
63802;0;0
63902;0;0
64002;0;0
64102;0;0
64202;0;0
64302;0;0
64402;0;0
64502;0;0
64602;0;0
64702;0;0
64802;40;0
64902;0;0
65002;0;0
65102;40;0
65202;10;0
65302;0;0
65402;0;0
65502;0;0
65602;0;0
65702;0;40
65802;0;0
65902;0;0
66002;10;0
66102;0;0
66202;0;10
66302;10;0
66402;0;0
66502;0;0
66602;0;0
66702;0;1640
66802;0;0
