CÛdigo_DANE;Subregion;Municipio;Poblacion;Latitud;Longitud
5002;ORIENTE;ABEJORRAL;20287;5,803728154;-75,43847353
5004;OCCIDENTE;ABRIAQUÕ;2735;6,627569378;-76,08597756
5021;ORIENTE;ALEJANDRÕA;4698;6,365534125;-75,09059702
5030;SUROESTE;AMAG¡;31283;6,032921994;-75,7080031
5031;NORDESTE;AMALFI;27071;6,977788843;-74,9812393
5034;SUROESTE;ANDES;44199;5,604993248;-75,94128391
5036;SUROESTE;ANGEL”POLIS;5841;6,121430303;-75,71594966
5038;NORTE;ANGOSTURA;11536;6,861498764;-75,358316
5040;NORDESTE;ANORÕ;19104;7,193110778;-75,10848954
5044;OCCIDENTE;ANZ¡;7169;6,293546613;-75,91736927
5045;URAB¡;APARTAD”;127744;7,86047815;-76,58236264
5051;URAB¡;ARBOLETES;30510;8,611395262;-76,41478317
5055;ORIENTE;ARGELIA;7545;6,163683758;-75,80995528
5059;OCCIDENTE;ARMENIA;5074;5,708114524;-75,09469795
5079;VALLE DE ABURR¡;BARBOSA;54347;6,443417935;-75,32924085
5088;VALLE DE ABURR¡;BELLO;552154;6,358841086;-75,58973588
5086;NORTE;BELMIRA;6116;6,665853953;-75,68621659
5091;SUROESTE;BETANIA;10284;6,185783612;-75,95649246
5093;SUROESTE;BETULIA;15896;5,727081285;-75,98689107
5107;NORTE;BRICE—O;8120;7,111788462;-75,56223474
5113;OCCIDENTE;BURITIC¡;9634;6,80906489;-75,91206595
5125;OCCIDENTE;CAICEDO;8536;6,423463639;-75,99351498
5129;VALLE DE ABURR¡;CALDAS;83423;6,054446841;-75,62642674
5134;NORTE;CAMPAMENTO;9243;7,036017478;-75,28766178
5142;MAGDALENA MEDIO;CARACOLÕ;4532;6,33797388;-74,73354817
5145;SUROESTE;CARAMANTA;4648;5,555275296;-75,63082096
5147;URAB¡;CAREPA;51143;7,757967437;-76,64374657
5150;NORTE;CAROLINA DEL PRÕNCIPE;3972;6,754821442;-75,30590654
5154;BAJO CAUCA;CAUCASIA;95427;7,867941792;-75,03501824
5138;OCCIDENTE;CA—ASGORDAS;15552;6,814950023;-76,02689632
5172;URAB¡;CHIGOROD”;59836;7,631665644;-76,63964213
5190;NORDESTE;CISNEROS;9936;6,550065431;-75,08254116
5101;SUROESTE;CIUDAD BOLÕVAR;26313;5,840995666;-76,01065253
5197;ORIENTE;COCORN¡;14833;6,005593074;-75,16015403
5206;ORIENTE;CONCEPCI”N;4758;6,376106187;-75,21785901
5209;SUROESTE;CONCORDIA;21688;6,005593074;-75,16015403
5212;VALLE DE ABURR¡;COPACABANA;81820;6,351882893;-75,50075633
5120;BAJO CAUCA;C¡CERES;30356;7,665155105;-75,22369744
5234;OCCIDENTE;DABEIBA;23509;6,992243782;-76,31426328
5237;NORTE;DONMATÕAS;19709;6,492403905;-75,42227687
5240;OCCIDENTE;EB…JICO;12134;6,326444922;-75,78331175
